Municipality,Municipality Code,ED Total Voters,ED PCT Obama,ED PCT McCain,ED PCT Nader,ED PCT Barr,ED PCT Baldwin,ED PCT WI,ED 2008WinCode,SL Total Voters,SL PCT Obama,SL PCT McCain,SL PCT Nader,SL PCT Barr,SL PCT Baldwin,SL PCT WI,SL 2008 Wincode,W Total Voters,W PCT Obama,W PCT McCain,W PCT Nader,W PCT Barr,W PCT Baldwin,W PCT WI,W 2008WinCode
Ketchikan Gateway,Ketchikan,4326,0.356680536292187,0.612806287563569,0.012251502542765,0.005085529357374,0.008090614886731,0.005085529357374,0.612806287563569,6519.39891891892,0.378715563895461,0.590133296984434,0.012433744513671,0.005813568619491,0.007377201413362,0.00552662457358,0.590133296984434,6519.39891891892,0.381817920448222,0.587531170265496,0.01226375582905,0.005705948916101,0.007189455477681,0.00549174906345,0.587531170265496
Prince of Wales-Hyder,Prince of Wales,1877,0.413958444326052,0.533297815663292,0.022376132125733,0.005860415556739,0.016515716568993,0.00799147575919,0.533297815663292,2739.58940530204,0.437705580592315,0.512707985905471,0.021515325289999,0.006180336617789,0.013969236071315,0.007921535523112,0.512707985905471,2739.58940530204,0.42733060469847,0.518988409389642,0.02324629359133,0.006326516581667,0.015601137333949,0.008507038404942,0.518988409389642
Sitka,Sitka,3170,0.494321766561514,0.473186119873817,0.017034700315457,0.004416403785489,0.005047318611987,0.005993690851735,2.49432176656151,4628.15213288033,0.490099123366891,0.479371695293017,0.015416915613613,0.005481332547579,0.004491363155308,0.005139570023593,2.49009912336689,4628.15213288033,0.509302331485454,0.460278906287102,0.015610177200174,0.00526713522712,0.004238070790549,0.005303379009601,2.50930233148545
Petersburg,Petersburg,1179,0.39440203562341,0.572519083969466,0.016115351993215,0.008481764206955,0.005937234944869,0.002544529262087,0.572519083969466,1721.32219705549,0.421660243662938,0.547408675742757,0.014787218469302,0.008265854785837,0.0051009011943,0.002777106144865,0.547408675742757,1721.32219705549,0.409382600547349,0.55961187038275,0.014690828877931,0.009332495648586,0.00512798712343,0.001854217419953,0.55961187038275
Wrangell,Wrangell,853,0.270808909730363,0.702227432590856,0.010550996483001,0.003516998827667,0.00820633059789,0.004689331770223,0.702227432590856,1245.3671196678,0.337006542178599,0.636250929265204,0.01097597664731,0.004865295383191,0.006655092373319,0.004246164152378,0.636250929265204,1245.3671196678,0.285789474654303,0.689320219004141,0.009126473367718,0.004367730269299,0.007397082776451,0.003999019928089,0.689320219004141
Hoonah-Angoon,Hoonah-Angoon,902,0.5,0.460088691796009,0.01219512195122,0.008869179600887,0.011086474501109,0.007760532150776,2.5,1308.96537991192,0.500679268200099,0.458242031125219,0.014773120562609,0.008245700031677,0.010304999239026,0.007754880841369,2.5006792682001,1308.96537991192,0.512578153990974,0.446591816391165,0.013119722477039,0.009299357002303,0.010166762367866,0.008244187770652,2.51257815399097
Juneau,J,9920,0.514818548387097,0.450604838709678,0.017036290322581,0.006552419354839,0.006552419354839,0.004435483870968,2.5148185483871,17503,0.560932411586585,0.407415871564875,0.01582585842427,0.00554190710164,0.005998971604868,0.004284979717763,2.56093241158658,17503,0.560932411586585,0.407415871564875,0.01582585842427,0.00554190710164,0.005998971604868,0.004284979717763,2.56093241158658
Valdez-Cordova,VC,3331,0.311618132692885,0.657760432302612,0.013509456619634,0.004202942059442,0.006604623236265,0.006304413089162,0.657760432302612,5109.62921548251,0.320158693150959,0.648804526714615,0.013245856746877,0.004679097750432,0.006617404518238,0.006494421118879,0.648804526714615,5109.62921548251,0.318946589033804,0.650400422679558,0.013715355643424,0.004465015347115,0.005626605228356,0.006846012067743,0.650400422679558
Haines,Haines,1064,0.43890977443609,0.523496240601504,0.015037593984962,0.004699248120301,0.013157894736842,0.004699248120301,0.523496240601504,1543.24414579515,0.459144447880898,0.500897099198931,0.016966113163014,0.005345782327502,0.011879604247176,0.005766953182479,0.500897099198931,1543.24414579515,0.451397363074431,0.509869406669432,0.016134559247843,0.005097778147399,0.012234880784118,0.005266012076777,0.509869406669432
Skagway,Skagway,393,0.544529262086514,0.39440203562341,0.035623409669211,0.005089058524173,0.012722646310433,0.00763358778626,2.54452926208651,570.014050091631,0.531964510193299,0.411892235988567,0.031159141497332,0.005614539718126,0.011579519307951,0.007790053294724,2.5319645101933,570.014050091631,0.557016850724855,0.380775201691338,0.036720374932092,0.005487588551271,0.011799632357708,0.008200351742736,2.55701685072485
Yakutat,Yakutat,257,0.490272373540856,0.470817120622568,0.019455252918288,0.003891050583658,0.011673151750973,0.003891050583658,2.49027237354086,372.757279576461,0.494556735428772,0.464577127527367,0.020011897666954,0.004788565129348,0.010855938263236,0.005209735984324,2.49455673542877,372.757279576461,0.502759962179197,0.457190286690496,0.020552218181169,0.004289580610755,0.010750137798248,0.004457814540134,2.5027599621792
Yukon-Koyukuk,YK,2048,0.447265625,0.52294921875,0.01220703125,0.00341796875,0.01171875,0.00244140625,0.52294921875,2916.43405676127,0.414023574882767,0.552750975417643,0.013407985602286,0.0047448573051,0.010427351992966,0.004645254799238,0.552750975417643,2916.43405676127,0.4434961538024,0.524040819248682,0.013190254558876,0.004768402356617,0.010685619362184,0.003818750671241,0.524040819248682
Bethel,Bethel,4220,0.513507109004739,0.440758293838863,0.012559241706161,0.009715639810427,0.021563981042654,0.001895734597156,2.51350710900474,5173.16193656094,0.519661964085863,0.436390591740342,0.013474901281947,0.008858807689875,0.019480599111118,0.002133136090855,2.51966196408586,5173.16193656094,0.521106620333071,0.434947714457917,0.013457795851342,0.008790933341233,0.019669853595336,0.002027082421102,2.52110662033307
Southeast Fairbanks,SEF,2383,0.195971464540495,0.774234158623584,0.010910616869492,0.003776751993286,0.010071338648762,0.005035669324381,0.774234158623584,3572.63610080973,0.231816852404299,0.737153142310568,0.011537508295673,0.004605791762332,0.008932992915784,0.005953712311343,0.737153142310568,3572.63610080973,0.195829023325232,0.773523789957209,0.010945941226945,0.004559588735839,0.009219788946292,0.005921867808483,0.773523789957209
