ED/Muni,Municipality Code,Total Votes,SL Total,WT Total,"EDPCTRomney ,N,19,10","EDPCT Obama,N,19,10","EDPCT Stein,N,19,10","EDPCT Johnson,N,19,10","EDPCT WI,N,19,10","EDWinCode,N,19,10","SLTotPCT Romney,N,19,10","SLTotPCT Obama,N,19,10","SLTotPCT Stein,N,19,10","SLTotPCT Johnson,N,19,10","SLTotPCT WI,N,19,10","SLTotWinCode,N,19,10","WtPCT Trump,N,19,10","WtPCT Clinton,N,19,10","WtPCT Johnson,N,19,10","WtPCT Castle,N,19,10","WtPCT Stein,N,19,10","WtWinCode,N,19,10"
Ketchikan Gateway,Ketchikan,4097,5905.59270692649,5905.59270692649,0.553819868196241,0.38369538686844,0.01293629484989,0.036368074200635,0.013180375884794,0.553819868196241,0.559556736295157,0.377150741552553,0.013391623103598,0.035938392260994,0.013962506787697,0.559556736295157,0.553142685475727,0.383159544283285,0.013749032909431,0.035908596092047,0.014040141239509,0.553142685475727
Prince of Wales-Hyder,Prince of Wales-Hyder,1783,2482.06276200165,2482.06276200165,0.412787436904094,0.531127313516545,0.011217049915872,0.032529444756029,0.012338754907459,2.53112731351655,0.424749658361666,0.52013417080699,0.013036930467825,0.03008979885864,0.01198944150488,2.52013417080699,0.421061725596254,0.523052297137447,0.012660853536237,0.030717711571635,0.012507412158426,2.52305229713745
Sitka,Sitka,3194,4415.26536491677,4415.26536491677,0.406700062617408,0.536944270507201,0.012210394489668,0.032561051972448,0.011584220413275,2.5369442705072,0.412766237262193,0.532688179012272,0.013927352642289,0.029459471196464,0.011158759886783,2.53268817901227,0.414628333136244,0.529980069055477,0.013763134043181,0.030143068538463,0.011485395226636,2.52998006905548
Petersburg,Petersburg,1140,1729.88055422838,1729.88055422838,0.502631578947368,0.445614035087719,0.007017543859649,0.036842105263158,0.007894736842105,0.502631578947368,0.441228346369703,0.507872641300986,0.010606964514561,0.032255623315215,0.008036424499536,2.50787264130099,0.501456326827532,0.448624048474471,0.006808889848016,0.034228689948505,0.008882044901476,0.501456326827532
Wrangell,Wrangell,793,1143.06444144318,1143.06444144318,0.646910466582598,0.317780580075662,0.005044136191677,0.023959646910467,0.006305170239596,0.646910466582598,0.62413826104907,0.331422399482286,0.007916444636791,0.027330056208934,0.009192838622919,0.62413826104907,0.646233283862084,0.317244737490507,0.005856874251218,0.023500168801879,0.007164935594312,0.646233283862084
Hoonah-Angoon,Hoonah-Angoon,882,1255.17400725423,1255.17400725423,0.356009070294785,0.59750566893424,0.011337868480726,0.029478458049887,0.005668934240363,2.59750566893424,0.365968879460447,0.586618934333415,0.013346949340295,0.027285292537052,0.006779944328791,2.58661893433342,0.361365133858386,0.592464416519098,0.01232247098806,0.027768021093956,0.006079957540501,2.5924644165191
Juneau,JNU,10676,16116.4352603918,16116.4352603918,0.390970400899213,0.561539902585238,0.014424878231547,0.026789059572874,0.006275758711128,2.56153990258524,0.385749133675913,0.566667266498099,0.014430550918885,0.025817871393512,0.00733517751359,2.5666672664981,0.379169694575005,0.574149726565669,0.01429769250891,0.02521463193245,0.007168254417965,2.57414972656567
Valdez-Cordova,VC,3024,4343.91438772359,4343.91438772359,0.58234126984127,0.361111111111111,0.010582010582011,0.031084656084656,0.014880952380952,0.58234126984127,0.588067373884008,0.35777413065912,0.010189463032252,0.030253050483971,0.013715981940649,0.588067373884008,0.580882859899853,0.362652228022592,0.01042581722654,0.031336642942163,0.014702451908851,0.580882859899853
Haines,Haines,948,1310.4795134443,1310.4795134443,0.469409282700422,0.460970464135021,0.018987341772152,0.037974683544304,0.012658227848101,0.469409282700422,0.458130044959157,0.477728778501287,0.018829791755518,0.033375688640131,0.011935696143908,2.47772877850129,0.477337553219258,0.454006262683297,0.020540081325664,0.035556700110318,0.012559402661462,0.477337553219258
Skagway,Skagway,404,613.045389393216,613.045389393216,0.306930693069307,0.576732673267327,0.064356435643564,0.044554455445545,0.007425742574257,2.57673267326733,0.312260476677391,0.594280484408642,0.048393583061077,0.037338100938557,0.007727354914333,2.59428048440864,0.30575544094947,0.579742686654079,0.064147781631932,0.041941040130892,0.008413050633628,2.57974268665408
Yakutat,Yakutat,211,305.291588394907,305.291588394907,0.388625592417062,0.573459715639811,0,0.033175355450237,0.004739336492891,2.57345971563981,0.446322160021659,0.513480308371369,0.00201961915753,0.031728668199955,0.006449244249487,2.51348030837137,0.400545061059158,0.560504873762917,-0.001654953152568,0.035270641825212,0.005334376505282,2.56050487376292
Yukon-Koyukuk,YK,1820,2388.99763209261,2388.99763209261,0.318681318681319,0.637912087912088,0.010989010989011,0.026923076923077,0.005494505494505,2.63791208791209,0.342675245798558,0.610168407679029,0.013449284650068,0.027026271408181,0.006680790464164,2.61016840767903,0.340336198915891,0.615927959093719,0.011072499838859,0.026614150074535,0.006049192076997,2.61592795909372
Bethel,Bethel,3710,4810.61159181359,4810.61159181359,0.216711590296496,0.73288409703504,0.013477088948787,0.031536388140162,0.005390835579515,2.73288409703504,0.255504050815559,0.696492422431719,0.013822838292767,0.028621820426012,0.005558868033943,2.69649242243172,0.239372901910876,0.712096874729642,0.013956704630736,0.029120081369477,0.005453437359269,2.71209687472964
Southeast Fairbanks,SEF,2175,3089.24321022185,3089.24321022185,0.724597701149425,0.223448275862069,0.006896551724138,0.028045977011494,0.017011494252874,0.724597701149425,0.688841802544554,0.259575881971627,0.008020703313976,0.028215699742905,0.015345912426939,0.688841802544554,0.728434958453183,0.220268485023627,0.007429479459896,0.02737523037371,0.016491846689583,0.728434958453183
Wade Hampton,Wade-Hampton,1652,2228.14195877877,2228.14195877877,0.159200968523002,0.782687651331719,0.039951573849879,0.016949152542373,0.001210653753027,2.78268765133172,0.214847912660298,0.726957617258133,0.036894756721546,0.017949063442901,0.003350649917122,2.72695761725813,0.174757074692792,0.769919917578116,0.039782735502364,0.01438678835617,0.001153483870558,2.76991991757812
