ED/Muni,Municipality Code,ED Total,"EDPCT Trump,N,19,10","EDPCT Clinton,N,19,10","EDPCT Johnson,N,19,10","EDPCT Castle,N,19,10","EDPCT Stein,N,19,10","EDWinCode,N,19,10",SL Total,"TotPCT Trump,N,19,10","TotPCT Clinton,N,19,10","TotPCT Johnson,N,19,10","TotPCT Castle,N,19,10","TotPCT Stein,N,19,10","TotWinCode,N,19,10",WtTotal,"WtPCT Trump,N,19,10","WtPCT Clinton,N,19,10","WtPCT Johnson,N,19,10","WtPCT Castle,N,19,10","WtPCT Stein,N,19,10","WtWinCode,N,19,10"
Ketchikan Gateway,Ketchikan,4237,0.55558177956101,0.305640783573283,0.080009440641964,0.011328770356384,0.019825348123672,0.55558177956101,6267.15017003759,0.547196926719187,0.317717214160689,0.075993797781541,0.01092616650304,0.020300607450019,0.547196926719187,6267.15017003759,0.550793749125954,0.313810224595182,0.078487683506614,0.00978360023996,0.019997036098679,0.550793749125954
Prince of Wales-Hyder,Prince of Wales-Hyder,1810,0.459116022099448,0.367955801104972,0.051381215469613,0.037016574585635,0.035911602209945,0.459116022099448,2830.67390391471,0.462135955487631,0.386110724829102,0.049781133911992,0.027124501774715,0.032892046450021,0.462135955487631,2830.6739039147,0.457532412372415,0.380282519167274,0.046431534157801,0.033346718125223,0.035720375907355,0.457532412372415
Sitka,Sitka,2759,0.415367886915549,0.457049655672345,0.052555273649873,0.013773106197898,0.028271112722001,2.45704965567234,4427.91586794462,0.426032147188919,0.453330873706922,0.047455918131319,0.012120955576085,0.028896200959495,2.45333087370692,4427.91586794462,0.409118974904178,0.47674663714727,0.046057493441125,0.009551886986357,0.027777616391187,2.47674663714727
Petersburg,Petersburg,1063,0.542803386641581,0.314205079962371,0.060206961429915,0.011288805268109,0.03480714957667,0.542803386641581,1706.00745473908,0.505436217688417,0.364325527594337,0.052223625381126,0.010573006954272,0.032968754779358,0.505436217688417,1706.00745473908,0.53655447463021,0.333902061437296,0.053709181221168,0.007067586056568,0.034313653245856,0.53655447463021
Wrangell,Wrangell,760,0.673684210526316,0.232894736842105,0.046052631578947,0.009210526315789,0.017105263157895,0.673684210526316,1124.15249686773,0.627041830131961,0.268536168288582,0.053036792428797,0.009494096143068,0.018461653589443,0.627041830131961,1124.15249686773,0.66889618009126,0.241064177864005,0.044530874443598,0.007665356199365,0.017276951132901,0.66889618009126
Hoonah-Angoon,Hoonah-Angoon,841,0.328180737217598,0.500594530321046,0.065398335315101,0.036860879904875,0.032104637336504,2.50059453032105,1411.84473968649,0.347262714562763,0.506266630245321,0.055932933092696,0.025359276223929,0.030665931175343,2.50626663024532,1411.84473968649,0.316239684720337,0.52640491213847,0.058611078520196,0.032212947079515,0.031199197601131,2.52640491213847
Juneau,JNU,8583,0.368286147034836,0.497844576488407,0.066643364790866,0.011417919142491,0.025865082139112,2.49784457648841,16436.9085308942,0.351383144416345,0.522822203417031,0.059720949039516,0.009604154538725,0.025164674732361,2.52282220341703,16436.9085308942,0.345869172265509,0.531015516190235,0.060284252149488,0.009034621938518,0.023544153384796,2.53101551619023
Valdez-Cordova,VC,2800,0.5775,0.274642857142857,0.0725,0.020714285714286,0.022857142857143,0.5775,4449.25345553696,0.588444955147089,0.275501762730222,0.066866987488741,0.016221371620628,0.021068889269492,0.588444955147089,4449.25345553696,0.571147955169461,0.282810806053634,0.071171758934232,0.018156368461296,0.02342660877136,0.571147955169461
Haines,Haines,883,0.419026047565119,0.423556058890147,0.036240090600227,0.024915062287656,0.057757644394111,2.42355605889015,1637.43177151391,0.345955560379137,0.517816570110179,0.041185641770225,0.016556270251155,0.043226062111864,2.51781657011018,1637.43177151391,0.406566814573989,0.446085638942085,0.032252769990756,0.022187164565527,0.05384002029458,2.44608563894208
Skagway,Skagway,447,0.288590604026846,0.512304250559284,0.078299776286354,0.011185682326622,0.051454138702461,2.51230425055928,828.915064401718,0.275617059167688,0.565674840975044,0.06386671044554,0.009152577030774,0.039826839241905,2.56567484097504,828.915064401717,0.276131371035716,0.534833830611222,0.074312455676883,0.008457784604493,0.04753651460293,2.53483383061122
